company,n_sites,name_variants,company_source,parent_codes,n_countries,countries,regions,verticals,customer_classes,best_segmentation,has_hq_site,fda_any,first_created,last_updated,n_flag_review
Societe Temacine Brique,1,,site_name,,1,Algeria,EMEA,Electronics,Former Customer,,False,False,2020-10-31,2025-10-03,0
Sky Chile,1,,site_name,,1,Chile,Latin America,,Customer,,False,False,2020-10-31,2023-04-29,0
Sky Industries,1,,global_hq_rollup,,1,Tunisia,EMEA,Electronics,Customer,,True,False,2020-10-31,2025-10-03,0
UFO Network Service Inc,1,,site_name,,1,China,Asia-Pacific,,Prospect,,False,False,2020-10-31,2023-04-29,0
Skyware Radio Systems GmbH,1,,global_hq_rollup,,1,Germany,EMEA,Electronics,Customer,,True,False,2020-10-31,2025-10-03,0
Slanger Acondicionamiento,1,,global_hq_rollup,,1,Argentina,Latin America,Life Sciences,Customer,,True,False,2020-10-31,2025-10-03,0
Small Precision Tool,1,,site_name,,1,United States,North America,,Customer,,False,False,2020-10-31,2023-04-29,0
Smart Chemical Solutions,1,,global_hq_rollup,,1,United States,North America,Industrial,Bill-To,,False,False,2020-11-01,2024-11-01,0
Smart Corporation,1,,site_name,,1,Indonesia,Asia-Pacific,Consumer Products,Customer,,False,False,2020-10-31,2025-10-03,0
Sklostroj Turnov CZ,1,,global_hq_rollup,,1,Czech Republic,EMEA,Industrial,Customer,,True,False,2020-10-31,2025-10-03,0
Singapore Precision,1,,site_name,,1,Singapore,Asia-Pacific,Industrial,Customer,,False,False,2020-10-31,2025-10-03,0
UNILEVER SRILANKA LTD,1,,site_name,Unilev,1,Sri Lanka,Asia-Pacific,,Bill-To,,False,False,2020-11-01,2023-04-29,0
Singapore Technologies,1,,global_hq_rollup,,1,Singapore,Asia-Pacific,Industrial,Customer,,True,False,2020-10-31,2025-10-03,0
UNILEVER Corporate Audit,1,,site_name,Unilev,1,Germany,EMEA,,Customer,,False,False,2020-10-31,2023-04-29,0
Singer Do Brasil Ind. Com.,1,,site_name,,1,Brazil,Latin America,,Customer,,False,False,2020-10-31,2023-04-29,0
UNIAX LTD.,1,,site_name,,1,Japan,Asia-Pacific,,Partner,,False,False,2020-10-31,2024-11-22,0
"Sinotrans Logistics Development Co.,Ltd",1,,site_name,,1,China,Asia-Pacific,Other,Customer,,False,False,2021-07-28,2024-11-01,0
"Sintermetal, S.A. de C.v.",1,,site_name,,1,Mexico,Latin America,,Bill-To,,False,False,2020-11-01,2023-07-17,0
"Sistemas Energeticos SISA, S.A. de C.V.",1,,site_name,,1,Mexico,Latin America,,Customer,,False,False,2020-10-31,2023-07-17,0
UMA Precision Machine,1,,global_hq_rollup,,1,United States,North America,Industrial,Customer,,True,False,2020-10-31,2025-10-03,0
Sioux Honey,1,,site_name,,1,United States,North America,,Prospect,,False,False,2020-10-31,2023-04-29,0
ULTRASOLUCIONES DE MEXICO,1,,site_name,,1,Mexico,Latin America,,Prospect,,False,False,2020-10-31,2023-04-29,0
Sipades,1,,site_name,,1,Algeria,EMEA,Electronics,Former Customer,,False,False,2020-10-31,2025-10-03,0
Sir Juice,1,,site_name,,1,South Africa,EMEA,,Customer,,False,False,2020-10-31,2023-04-29,0
Sisa Sudamericana S.A. de,1,,site_name,,1,Mexico,Latin America,,Customer,,False,False,2020-10-31,2023-04-29,0
Sisel International,1,,site_name,,1,United States,North America,,Prospect,,False,False,2020-10-31,2023-04-29,0
Sistema Strategy,1,,site_name,,1,France,EMEA,,Partner,,False,False,2020-10-31,2024-11-22,0
UNEX,1,,global_hq_rollup,Unexsa,0,,,Industrial,Customer,,False,False,2020-10-31,2025-10-03,0
Smoulerrie Ouled El Karmi,1,,site_name,,1,Algeria,EMEA,Electronics,Customer,,False,False,2020-10-31,2025-10-03,0
"SnackCrate, Inc.",1,,global_hq_rollup,,1,United States,North America,Food & Beverage,Customer,,True,False,2021-04-24,2025-11-07,0
Snap-On Incorporated,1,,global_hq_rollup,,1,United States,North America,Industrial,Customer,,True,False,2020-10-31,2025-10-03,0
UCGE Magaza Ekipmanlari,1,,site_name,,1,Turkey,EMEA,Industrial,Customer,,False,False,2020-10-31,2025-10-03,0
Snapple,1,,global_hq_rollup,,1,United States,North America,Food & Beverage,Customer,,True,False,2020-10-31,2025-10-03,0
Snapple Beverage Group,1,,global_hq_rollup,,1,United States,North America,Food & Beverage,Customer,,True,False,2020-10-31,2025-10-03,0
Snax,1,,global_hq_rollup,,1,Algeria,EMEA,Food & Beverage,Customer,,True,False,2020-10-31,2025-10-03,0
Smart Solutions,1,,site_name,,1,Israel,EMEA,,Customer,,False,False,2020-10-31,2023-04-29,0
Snyder Paper Corporation,1,,site_name,,1,United States,North America,,Customer,,False,False,2020-10-31,2023-04-29,0
"Soaring Eagle Industries, Inc.",1,,global_hq_rollup,,1,United States,North America,Automotive,Customer,,True,False,2020-10-31,2025-10-03,0
Societe BIC S.A.,1,,global_hq_rollup,Sbicsa,1,Spain,EMEA,Consumer Products,Customer,,False,False,2020-10-31,2025-10-03,0
UCC Europe Ltd,1,,global_hq_rollup,,1,Netherlands,EMEA,Food & Beverage,Customer,,False,False,2020-10-31,2025-10-03,0
Societe Des Industries,1,,global_hq_rollup,,1,Tunisia,EMEA,Life Sciences,Customer,,True,False,2020-10-31,2025-10-03,0
Societe Martin,1,,site_name,,1,France,EMEA,,Customer,,False,False,2020-10-31,2023-04-29,0
Societe Offranvillaise de,1,,site_name,,1,France,EMEA,,Customer,,False,False,2020-10-31,2023-04-29,0
UCB Services,1,,site_name,,1,France,EMEA,,Customer,,False,False,2020-10-31,2023-04-29,0
Snvb Financements,1,,site_name,,1,France,EMEA,,Customer,,False,False,2020-10-31,2023-04-29,0
SmartWorks Consumer Products,1,,site_name,,1,United States,North America,Other,Former Customer,B,False,False,2022-04-27,2025-10-03,0
Smartflex Systems Inc.,1,,site_name,,1,United States,North America,,Customer,,False,False,2020-10-31,2023-04-29,0
UFI Foods Inc.,1,,site_name,,1,Canada,North America,,Customer,,False,False,2020-10-31,2023-04-29,0
UFI Filters (Shanghai) Co.,1,,site_name,,1,China,Asia-Pacific,,Customer,,False,False,2020-10-31,2023-04-29,0
Smilde Bakery,1,,global_hq_rollup,,1,Netherlands,EMEA,Food & Beverage,Customer,,True,False,2020-10-31,2025-10-03,0
Smit Draad Nijmegen B.V.,1,,site_name,,1,Netherlands,EMEA,,Customer,,False,False,2020-10-31,2023-04-29,0
UEF Chesterfield Cylinders,1,,global_hq_rollup,,1,United Kingdom,EMEA,Electronics,Customer,,True,False,2020-10-31,2025-10-03,0
Smith Food Group BV,1,,site_name,,1,Netherlands,EMEA,,Customer,,False,False,2020-10-31,2023-04-29,0
Smorgon Steel Group,1,,site_name,,1,Australia,Asia-Pacific,,Customer,,False,False,2020-10-31,2023-04-29,0
Smithfield Foods Inc. (HQ),1,,global_hq_rollup,,1,United States,North America,Food & Beverage,Former Customer,,False,False,2024-02-24,2025-11-01,0
Smiths Brasil Ltda,1,,site_name,Smiths,1,Brazil,Latin America,,Customer,,False,False,2020-10-31,2023-04-29,0
UEF AUTOMOTIVE,1,,site_name,,1,United Kingdom,EMEA,Industrial,Customer,,False,False,2020-10-31,2024-11-01,0
Smiths Medical,1,,site_name,Icumed,1,United States,North America,,Customer,,False,False,2020-10-31,2023-04-29,0
Smiths Medical ASD Inc.,1,,site_name,Icumed,1,United States,North America,,Bill-To,,False,False,2020-11-01,2023-04-29,0
Smiths Medical Do Brasil Prod Hospitalares Ltda,1,,site_name,Icumed,1,Brazil,Latin America,,Customer,,False,False,2020-10-31,2023-07-17,0
Smiths Medical Italia Srl,1,,site_name,Icumed,1,Italy,EMEA,,Customer,,False,False,2020-10-31,2023-04-29,0
Smiths Medical MD,1,,site_name,Icumed,1,United States,North America,,Customer,,False,False,2020-10-31,2023-04-29,0
Smith's Medical ASD,1,,site_name,Smiths,1,United States,North America,,Customer,,False,False,2020-10-31,2023-04-29,0
Technical University,1,,global_hq_rollup,,1,Hungary,EMEA,Consumer Products,Customer,,True,False,2020-10-31,2025-10-03,0
Technical University Zvolen,1,,site_name,,0,,,Consumer Products,Customer,,False,False,2020-10-31,2025-10-03,0
Technicolor Distribution Services,1,,site_name,Techni,1,United States,North America,,Customer,,False,False,2020-10-31,2023-04-29,0
Technicolor Home Entertain,1,,site_name,Techni,1,United States,North America,,Bill-To,,False,False,2020-11-01,2023-04-29,0
Technicolor Home Entertainment,1,,site_name,Techni,1,Canada,North America,,Customer,,False,False,2020-10-31,2023-04-29,0
Tilago Kft.,1,,site_name,,1,Hungary,EMEA,Consumer Products,Customer,,False,False,2020-10-31,2025-10-03,0
Technimove Ltd,1,,site_name,,1,United Kingdom,EMEA,,Customer,,False,False,2020-10-31,2023-04-29,0
Sundram Fasteners Ltd,1,,site_name,,1,India,Asia-Pacific,,Customer,,False,False,2020-10-31,2023-04-29,0
Techniplex (AOP),1,,site_name,,1,India,Asia-Pacific,,Customer,,False,False,2023-02-01,2023-04-29,0
Techniques Inc,1,,global_hq_rollup,,1,United States,North America,Industrial,Customer,,True,False,2020-10-31,2025-10-03,0
Techno Plas Pty Ltd,1,,global_hq_rollup,,1,Australia,Asia-Pacific,Industrial,Customer,,False,False,2020-11-01,2025-10-03,0
Techno Trim de Mexico,1,,site_name,,1,Mexico,Latin America,,Customer,,False,False,2020-10-31,2023-04-29,0
Techno-Service S.A.,1,,global_hq_rollup,,1,Poland,EMEA,Electronics,Customer,,True,False,2020-10-31,2025-10-03,0
Tigers Polymer Corporation,1,,site_name,,1,Japan,Asia-Pacific,,Prospect,,False,False,2020-10-31,2023-04-29,0
Technodex Solutions Sdn Bhd,1,,site_name,,1,Malaysia,Asia-Pacific,Other,Partner,,False,False,2020-10-31,2025-10-03,0
Technologent d.o.o.,1,,site_name,,1,Serbia,EMEA,Other,Partner,,False,False,2022-10-05,2025-10-03,0
TechnipFMC USA,1,,site_name,,1,United States,North America,,Customer,,False,False,2023-05-01,2024-10-18,0
Tech Charm Electronics,1,,site_name,,1,China,Asia-Pacific,Consumer Products,Customer,,False,False,2020-10-31,2025-10-03,0
Tech Co,1,,site_name,,1,United States,North America,,Prospect,,False,False,2020-10-31,2023-04-29,0
Tech Data Corporation,1,,global_hq_rollup,,1,United States,North America,Electronics,Customer,,True,False,2020-10-31,2025-10-03,0
Tech Group,1,,site_name,Westph,1,United States,North America,,Customer,,False,False,2020-10-31,2023-04-29,0
Tech Group - Corporate,1,,site_name,Westph,1,United States,North America,,Customer,,False,False,2020-10-31,2023-04-29,0
Tech Group Phoenix,1,,site_name,Westph,1,United States,North America,,Customer,,False,False,2020-10-31,2023-04-29,0
Tech Group Tempe,1,,site_name,Westph,1,United States,North America,,Customer,,False,False,2020-10-31,2023-04-29,0
Ting Hsin Int'l Group,1,,site_name,,1,China,Asia-Pacific,,Customer,,False,False,2020-10-31,2023-04-29,0
Technical Consumer Products (TCP),1,,global_hq_rollup,,1,China,Asia-Pacific,Electronics,Customer,,False,False,2020-10-31,2025-10-03,0
Tech-Link,1,,site_name,,1,China,Asia-Pacific,,Customer,,False,False,2020-10-31,2023-04-29,0
Tinfish (Thailand) Ltd,1,,site_name,,1,Thailand,Asia-Pacific,,Customer,,False,False,2020-10-31,2023-04-29,0
Tech-Trans,1,,site_name,,1,Hong Kong,Asia-Pacific,,Prospect,,False,False,2020-10-31,2023-04-29,0
"TechSupport.Ph, Inc",1,,site_name,,1,Philippines,Asia-Pacific,,Customer,,False,False,2020-10-31,2023-04-29,0
Timus Safety s.r.o,1,,site_name,Capita,1,Slovakia,EMEA,,Customer,,False,False,2020-10-31,2023-04-29,0
Techmire,1,,site_name,Dynaca,1,Canada,North America,,Prospect,,False,False,2022-11-25,2023-04-29,0
Technical Absorbents Ltd,1,,global_hq_rollup,,1,United Kingdom,EMEA,Industrial,Customer,,True,False,2020-10-31,2025-10-03,0
Tillamook County Creamery Association HQ,1,,global_hq_rollup,,1,United States,North America,Food & Beverage,Customer,,False,False,2024-02-24,2025-10-03,0
Tech Write,1,,site_name,,1,United States,North America,,Customer,,False,False,2020-10-31,2023-04-29,0
Tecom Co. Ltd.,1,,site_name,,1,Taiwan,Asia-Pacific,Electronics,Customer,,False,False,2020-10-31,2025-10-03,0
Tiffany & Co.,1,,site_name,,1,United States,North America,,Customer,,False,False,2021-04-27,2023-04-29,0
Tietonovo Oy,1,,site_name,,1,Finland,EMEA,,Customer,,False,False,2020-10-31,2023-04-29,0
Tieto Poland Sp. z o.o.,1,,site_name,,1,Poland,EMEA,,Customer,,False,False,2020-10-31,2023-04-29,0
Teconnex Ltd,1,,site_name,,1,United Kingdom,EMEA,,Prospect,,False,False,2021-12-19,2023-07-14,0
"Tectum Holdings, Inc",1,,site_name,,1,United States,North America,,Customer,,False,False,2020-10-31,2023-04-29,0
"Teijin Holdings USA, Inc.",1,,site_name,,1,United States,North America,,Customer,,False,False,2021-04-27,2023-04-29,0
Technometal,1,,site_name,,0,,,Consumer Products,Customer,,False,False,2020-10-31,2025-10-03,0
Teka B.V.,1,,global_hq_rollup,,1,Hungary,EMEA,Consumer Products,Customer,,False,False,2020-10-31,2025-10-03,0
Teknor Apex Company,1,,global_hq_rollup,,1,United Kingdom,EMEA,Industrial,Customer,,False,False,2020-10-31,2025-10-03,0
Tiercon Corp.,1,,site_name,,1,Canada,North America,,Bill-To,,False,False,2020-11-01,2023-04-29,0
Tiantai Yinshen Aluminum Casting Co. Ltd,1,,site_name,,1,China,Asia-Pacific,,Bill-To,,False,False,2020-11-01,2023-07-17,0
Tektronix Berlin GmbH co. kg,1,,site_name,Danahe,1,Germany,EMEA,,Customer,,False,False,2020-10-31,2023-04-29,0
"Tianjin Yishiyuan Technology Co., Ltd",1,,site_name,,1,China,Asia-Pacific,Other,Customer,,False,False,2021-09-11,2024-11-01,0
Tektronix Grass Valley Group,1,,site_name,Danahe,1,United States,North America,,Bill-To,,False,False,2020-11-01,2023-04-29,0
Tianjin Mitsumi Electric Co,1,,site_name,,1,China,Asia-Pacific,,Customer,,False,False,2020-10-31,2023-04-29,0
Tieto Corporation,1,,site_name,,1,Finland,EMEA,,Partner,,False,False,2020-10-31,2024-11-22,0
Techologia Aplicada en,1,,site_name,,1,Mexico,Latin America,,Customer,,False,False,2020-10-31,2023-04-29,0
Techsen Electronic(ShenZhen),1,,site_name,,1,China,Asia-Pacific,,Customer,,False,False,2020-10-31,2023-04-29,0
"Tigerpoly Industria de Mexico, S.A. de C.V.",1,,site_name,,1,Mexico,Latin America,,Customer,,False,False,2020-10-31,2023-07-17,0
Teck Bee Hang Co Ltd,1,,site_name,,1,Thailand,Asia-Pacific,Industrial,Former Customer,,False,False,2020-10-31,2025-10-03,0
Tigerflex Corporation,1,,site_name,,1,United States,North America,,Customer,,False,False,2020-10-31,2023-04-29,0
Tecno Lite,1,,global_hq_rollup,,1,Mexico,Latin America,Consumer Products,Customer,,False,False,2020-10-31,2025-10-03,0
Tecnocut S.A. de C.V.,1,,site_name,,1,Mexico,Latin America,,Customer,,False,False,2020-10-31,2023-04-29,0
Tecnofarma,1,,site_name,,1,Argentina,Latin America,,Customer,,False,False,2020-10-31,2023-04-29,0
Teco S.A.,1,,site_name,,1,Belgium,EMEA,,Customer,,False,False,2020-10-31,2023-04-29,0
Tecnologia Informatica,1,,site_name,,1,Mexico,Latin America,,Customer,,False,False,2020-10-31,2023-04-29,0
Tecnologia Informatica Casa,1,,site_name,,1,Mexico,Latin America,,Customer,,False,False,2020-10-31,2023-04-29,0
"Tecnologia Modificada, S.A. de C.V.",1,,site_name,Caterp,1,United States,North America,,Bill-To,,False,False,2020-11-01,2023-07-17,0
"Tecnologia de Iluminacion Automotriz, S.A. de C.V.",1,,site_name,,1,Mexico,Latin America,,Customer,,False,False,2020-10-31,2023-07-17,0
Tecnologica Informatica Serv,1,,site_name,,1,Mexico,Latin America,,Customer,,False,False,2020-10-31,2023-04-29,0
Tecnoservice Srl,1,,site_name,,1,Italy,EMEA,,Customer,,False,False,2020-10-31,2023-04-29,0
Tifton Aluminum Company,1,,site_name,Alumin,1,United States,North America,,Customer,,False,False,2020-10-31,2023-04-29,0
Teco Electric & Machinery Co,1,,site_name,,1,Taiwan,Asia-Pacific,Electronics,Customer,,False,False,2020-10-31,2025-10-03,0
Tecnologia Aplicada en,1,,site_name,,1,Mexico,Latin America,,Customer,,False,False,2020-10-31,2023-04-29,0
"Tokyo Radiator Mfg Co., Ltd.",1,,global_hq_rollup,Tokyor,1,China,Asia-Pacific,Automotive,Customer,,False,False,2020-10-31,2025-10-03,0
Takata Auburn AP Imaging,1,,site_name,Joyson,1,United States,North America,,Customer,,False,False,2021-02-02,2023-04-29,0
Takata Corporation,1,,site_name,Ningbo,1,Japan,Asia-Pacific,,Customer,,False,False,2020-10-31,2023-04-29,0
Takeda Pharmaceutical Company Limited,1,,global_hq_rollup,,1,France,EMEA,Life Sciences,Customer,,False,False,2020-10-31,2025-10-03,0
Talaris (India) Pvt Ltd,1,,site_name,Gloryl,1,India,Asia-Pacific,,Customer,,False,False,2020-10-31,2023-04-29,0
Talleres Mecanicos Montserrat S.A. de C.V.,1,,site_name,,1,Mexico,Latin America,,Prospect,,False,False,2022-02-03,2023-07-17,0
Talley Printer Company,1,,site_name,,1,United States,North America,,Customer,,False,False,2020-10-31,2023-04-29,0
TecPlast CZ Ltd,1,,site_name,,1,Czech Republic,EMEA,Automotive,Customer,,False,False,2020-10-31,2025-10-03,0
Taloca Cafe Ltda.,1,,site_name,,1,Brazil,Latin America,,Customer,,False,False,2020-10-31,2023-04-28,0
Tamerlan Davletukaev,1,,site_name,,1,Poland,EMEA,,Partner,,False,False,2021-11-30,2024-11-22,0
Tokai Precision(Thailand)Ltd,1,,site_name,,1,Thailand,Asia-Pacific,,Customer,,False,False,2020-10-31,2023-04-29,0
Tanaka Kikinzoku Kogyo K.K.,1,,global_hq_rollup,,1,United States,North America,Industrial,Customer,,False,False,2020-10-31,2025-10-03,0
Tandem Computers,1,,site_name,,1,United States,North America,,Customer,,False,False,2020-10-31,2023-04-29,0
Tandem Computers Mexico S.A.,1,,site_name,,1,Mexico,Latin America,,Customer,,False,False,2020-10-31,2023-04-29,0
Tokai Kogyo K.K.,1,,site_name,Tokaik,1,Japan,Asia-Pacific,,Customer,,False,False,2020-10-31,2023-04-29,0
Tane SA de CV,1,,site_name,,1,Mexico,Latin America,,Customer,,False,False,2020-10-31,2023-04-29,0
Tokyo Ferrite (H.K.) Co Ltd,1,,global_hq_rollup,,1,China,Asia-Pacific,Automotive,Former Customer,,True,False,2020-10-31,2025-10-03,0
TTTech Computertechnik AG,1,,global_hq_rollup,,1,Austria,EMEA,Electronics,Inactive,,False,False,2022-03-26,2024-11-01,0
TWMA Limited,1,,site_name,,1,United Kingdom,EMEA,,Customer,,False,False,2020-10-31,2023-04-29,0
TWO Consult Int,1,,site_name,,1,Luxembourg,EMEA,,Customer,,False,False,2020-10-31,2023-04-29,0
"TYC Brother Industrial Co.,Ltd.",1,,global_hq_rollup,,1,Thailand,Asia-Pacific,Automotive,Customer,,False,False,2020-10-31,2025-10-03,0
TYCO ELECTRONICS MEXICO S DE R.L. DE C.V.,1,,site_name,Tycoel,1,Mexico,Latin America,,Bill-To,,False,False,2020-11-01,2023-07-17,0
TYGH SILICON,1,,site_name,,1,United States,North America,Other,Former Customer,,False,False,2022-01-11,2025-10-03,0
"Tabata Co.,Ltd.",1,,global_hq_rollup,,1,Taiwan,Asia-Pacific,Consumer Products,Customer,,False,False,2020-10-31,2025-10-03,0
Tabco Pty Ltd,1,,site_name,,1,Australia,Asia-Pacific,Life Sciences,Customer,,False,False,2020-10-31,2025-10-03,0
Takata AG,1,,site_name,Ningbo,1,Germany,EMEA,,Customer,,False,False,2020-10-31,2023-04-29,0
Tomic Tec GmbH,1,,site_name,,1,Germany,EMEA,,Customer,,False,False,2021-02-02,2023-04-29,0
Tomcar Ltd.,1,,site_name,,1,Israel,EMEA,Automotive,Customer,,False,False,2020-10-31,2025-10-03,0
Taiwan Pulp & Paper Co.(Tppc,1,,site_name,,1,Taiwan,Asia-Pacific,Consumer Products,Customer,,False,False,2020-10-31,2025-10-03,0
Taiwan Video & Monitor Corp,1,,site_name,,1,Taiwan,Asia-Pacific,Consumer Products,Customer,,False,False,2020-10-31,2025-10-03,0
TomCar Inc.,1,,site_name,,1,United States,North America,,Prospect,,False,False,2020-10-31,2023-04-29,0
Tom Bahleda,1,,site_name,,1,United States,North America,,Partner,,False,False,2020-10-31,2024-11-22,0
Taka Auburn AP Imaging,1,,site_name,Ningbo,1,United States,North America,,Customer,,False,False,2020-10-31,2023-07-17,0
Takara Seika K.K,1,,site_name,,1,Japan,Asia-Pacific,,Prospect,,False,False,2020-10-31,2023-04-29,0
Tommy Armour Golf Company,1,,site_name,,1,United States,North America,,Customer,,False,False,2020-10-31,2023-04-29,0
Tata Johnson Controls Auto.,1,,site_name,Jcontr,1,India,Asia-Pacific,,Customer,,False,False,2020-10-31,2023-04-28,0
Tata Liebert Ltd,1,,site_name,,1,India,Asia-Pacific,Electronics,Customer,,False,False,2020-10-31,2025-10-03,0
Tivall,1,,site_name,,1,Israel,EMEA,Food & Beverage,Customer,,False,False,2020-10-31,2025-10-03,0
Tate & Lyle North America,1,,site_name,,1,United States,North America,,Bill-To,,False,False,2020-11-01,2023-04-29,0
Titan Plastech Limited,1,,site_name,,1,United Kingdom,EMEA,Industrial,Customer,,False,False,2020-10-31,2025-10-03,0
Tatrakon,1,,global_hq_rollup,,0,,,Food & Beverage,Customer,,True,False,2020-10-31,2025-10-03,0
Taura Natural Ingredients,1,,site_name,Tauran,1,United States,North America,,Customer,,False,False,2020-10-31,2023-04-28,0
